Resort name and website, Nearest city, State/province, Peak elevation (ft), Base elevation (ft), Vertical drop (ft), Skiable acreage, Total trails, Total lifts, Avg annual snowfall (in), Adult weekend lift ticket window price (USD), Date statistics updated
Sugarbush Resort, Warren, Vermont, 4 083, 1 483, 2 600, 508, 111, 16, 269, $128, December 11  2019[94]
Sugarloaf, Carrabassett Valley, Maine, 4 237, 1 417, 2 820, 1 153, 154, 14, 200, $105, December 11  2019[95]
Snowshoe Mountain, Marlinton, West Virginia, 4 848, 3 348, 1 500, 244, 60, 14, 180, $109, December 11  2019[96]
Sunshine Village [24], Banff, Alberta, 8 954, 5 440, 3 514, 3 358, 107, 12, 360, $82, January 19  2013
Mt. Norquay [25], Banff, Alberta, 8 040, 5 500, 1 650, 190, 28, 5, 120, $59, January 19  2013
Grouse Mountain [26], North Vancouver, British Columbia, 4 039, 899, 1 198, 212, 26, 5, 120, $58, April 2  2013
Mount Seymour [27], North Vancouver, British Columbia, 4 150, 935, 1 083, 200, 23, 5, 394, $51, April 2  2013
Cypress Mountain [28], West Vancouver, British Columbia, 4 724, 2 985, 2 001, 600, 53, 6, 245, $60, April 2  2013
Stevens Pass [29], Stevens Pass, Washington, 5 845, 4 061, 1 800, 1 125, 37, 10, 450, $111, December 11  2019[97]
Sun Peaks Resort, Kamloops, British Columbia, 6 824, 3 930, 2 894, 4 270, 135, 12, 237, $74, December 23  2017
Crystal Mountain, Enumclaw, Washington, 7 012, 3 912, 3 100, 2 600, 57, 12, 350, $96, December 11  2019[98]
Red Mountain Resort [30], Rossland [31], British Columbia, 6 807, 3 887, 2 919, 4 200, 110, 7, 300, $74, February 26  2019
Mt Baker [32], Glacier, Washington, 5 089, 3 500, 1 589, 1 000, 31, 10, 641, $63, December 11  2019[99]
Whiteface Mountain, Lake Placid, New York, 4 650, 1 220, 3 430, 314, 87, 11, 168[100], $104, December 11  2019[101]
Powder Mountain, Eden, Utah, 9 422[102], 6 900, 2 205, 8 464[102], 167, 9, 500, $95, December 11  2019[103]
Sugar Mountain Resort [33], Banner Elk, North Carolina, 5 300, 4 100, 1 200, 120, 21, 8, 77, $77, December 11  2019[104]
Beech Mountain Resort [34], Beech Mountain, North Carolina, 5 506, 4 675, 831, 95, 17, 8, 84, $70, December 11  2019[105]
Appalachian Ski Mountain [35], Blowing Rock, North Carolina, 4 000, 3 635, 365, 27, 12, 5, 27, $66, December 11  2019[106]
Cataloochee Ski Area [36], Maggie Valley, North Carolina, 5 400, 4 660, 740, 50, 18, 5, 24, $72, December 11  2019[107]
Sapphire Valley Ski Area [37], Sapphire, North Carolina, 3 400, 3 200, 200, 8, 3, 3, 24, $45, December 11  2019[108]
Wolf Ridge Ski Resort [38], Mars Hill, North Carolina, 4 700, 4 000, 700, 65, 15, 4, 65, $65, December 11  2019[109]
Aspen Highlands[110], Aspen, Colorado, 11 678, 8 040, 3 638, 1 010, 144, 5, 300, $74, December 11  2019[111]
Aspen Mountain[112], Aspen, Colorado, 11 212, 7 945, 3 267, 673, 76, 8, 300, $174, December 11  2019[111]
Buttermilk[113], Aspen, Colorado, 9 900, 7 870, 2 030, 435, 44, 8, 200, $174, December 11  2019[111]
Snowmass[114], Aspen, Colorado, 12 510, 8 104, 4 406, 3 362, 96, 17, 300, $174, December 11  2019[111]
Lee Canyon (Ski and Snowboard Resort)[115], Las Vegas, Nevada, 11 289, 8 510, 860, 385, 27, 3, 161, $79, December 11  2019[116]
Terry Peak, Lead, South Dakota, 7 064, 5 930, 1 134, 450, 30, 4, 150, $59, December 11  2019[117]
Mount Snow [39], Dover, Vermont, 3 600, 1 900, 1 700, 600, 86, 20, 156, $118, December 11  2019[118]
Wintergreen, Charlottesville, Virginia, 3 515, 2 512, 1 003, 129, 26, 5, 35, $94, December 11  2019[119]
Angel Fire Resort [40], Angel Fire, New Mexico, 10 677, 8 600, 2 077, 30, 80, 7, 210, $84, December 11  2019[120]
Bridger Bowl, Bozeman, Montana, 8 700, 6 100, 2 600, 2 000, 75, 11, 350, $63, September 28  2019[121]
Turner Mountain, Libby, Montana, 5 952, 3 842, 2 110, 1 000, 22, 1, 200, $38, September 28  2019[122]
Discovery, Anaconda, Montana, 8 158, 5 770, 2 388, 2 200, 67, 8, 150, $52, September 28  2019[123]
Great Divide, Helena, Montana, 7 210, 5 880, 1 330, 1 500, 140, 6, 180, $48, September 28  2019[124]
Showdown, Great Falls, Montana, 8 200, 6 800, 1 400, 640, 36, 4, 240, $49, September 28  2019
Maverick Mountain, Dillon, Montana, 8 820, 6 800, 2 020, 170, 24, 2, 200, $39, September 28  2019[125]
Lost Trail Powder Mountain, Hamilton, Montana, 8 200, 6 400, 1 800, 1 800, 60, 8, 325, $46, September 28  2019[126]
Blacktail Mountain, Kalispell, Montana, 6 780, 5 340, 1 440, 1 000, 26, 4, 250, $42, September 28  2019[127]
Bear Paw Ski Bowl, Havre, Montana, 5 280, 4 200, 1 080, 80, 11, 2, 140, $20, September 28  2019[128]
Red Lodge Mountain, Red Lodge, Montana, 9 416, 7 016, 2 400, 1 635, 70, 7, 250, $69, September 28  2019[129]
Montana Snowbowl, Missoula, Montana, 7 600, 5 000, 2 600, 950, 39, 4, 300, $52, September 28  2019[130]
Teton Pass, Choteau, Montana, 7 200, 6 190, 1 010, 114, 26, 2, 250, Temporarily Closed, December 11  2019[131]
White Pass, Yakima, Washington, 6 500, 4 500, 2 000, 1 400, 45, 8, 350, $69, September 28  2019[132]
49 Degrees North, Spokane, Washington, 5 774, 3 923, 1 851, 2 325, 82, 6, 300, $62, September 28  2019[133]
Hurricane Ridge, Port Angeles, Washington, 5 500, 4 800, 700, , 10, 3, 400, $37, September 28  2019[134]
The Summit at Snoqualmie, North Bend, Washington, 5 420, 2 610, 2 280, 1 914, 62, 27, 435, $58, September 28  2019[135]
Ski Bluewood, Dayton, Washington, 5 670, 4 454, 1 216, 530, 24, 3, 300, $50, September 28  2019[136]
Mount Spokane, Spokane, Washington, 5 889, 3 818, 2 071, 1 704, 52, 8, 300, $62, September 28  2019[137]
Mission Ridge, Wenatchee, Washington, 6 820, 4 570, 2 250, 2 000, 36, 6, 200, $75, September 28  2019[138]
Loup Loup Ski Bowl, Twisp, Washington, 5 280, 4 040, 1 240, 550, 10, 3, 150, $55, September 28  2019[139]
Echo Valley, Chelan, Washington, 3 900, 3 000, 900, 70, 6, 4, , $30, September 28  2019[140]
Crystal Mountain, Enumclaw, Washington, 7 002, 4 400, 2 602, 2 600, 57, 12, 350, $99, September 28  2019[141]
Badger Mountain, Waterville, Washington, 3 470, 3 145, 325, 10, 5, 3, 120, $10, September 28  2019[142]
Leavenworth Ski Hill, Leavenworth, Washington, 1 706, 1 476, 230, 17, 2, 2, , $22, September 28  2019[143]
Meany Lodge, Easton, Washington, , , 450, 54, 32, 1, , $40, September 28  2019[144]
Sitzmark Lifts, Tonasket, Washington, 4 950, 4 300, 650, , 11, 2, , $45, September 28  2019[145]
Mount Eyak, Cordova, Alaska, 1 200, 400, 800, 100, 10, 2, 350, $30, September 28  2019[146]
Moose Mountain, Fairbanks, Alaska, 1 985, 685, 1 300, 200, 40, 0, 70, $40, September 28  2019[147]
Eaglecrest, Juneau, Alaska, 2 750, 1 130, 1 620, 640, 34, 4, 350, $58, September 28  2019[148]
Hilltop, Anchorage, Alaska, 780, 486, 294, 30, 13, 3, 69, $34, September 28  2019[149]
Arctic Valley, Anchorage, Alaska, 4 000, 2 500, 1 500, 320, 24, 3, 250, $40, September 28  2019[150]
Mount Aurora Skiland, Fairbanks, Alaska, 2 435, 1 408, 1 027, 530, 46, 2, , $40, September 28  2019[151]
White Pine, Pinedale, Wyoming, 9 500, 8 450, 1 050, 350, 27, 2, 150, $50, September 28  2019[152]
Snowy Range, Centennial, Wyoming, 9 663, 8 798, 865, 250, 27, 5, 245, $49, September 28  2019[153]
Snow King, Jackson, Wyoming, 7 808, 6 237, 1 571, 400, 32, 5, 175, $59, September 28  2019[154]
Pine Creek, Cokeville, Wyoming, 8 200, 6 875, 1 325, 370, 30, 2, 150, $45, September 28  2019[155]
Hogadon, Casper, Wyoming, 8 000, 7 370, 630, 60, 27, 2, 140, $48, September 28  2019[156]
Meadowlark Ski Lodge, Ten Sleep, Wyoming, 9 500, 8 500, 1 000, 300, 14, 3, , $48, September 28  2019[157]
Sleeping Giant, Cody, Wyoming, 7 428, 6 619, 810, 184, 49, 3, 310, $42, September 28  2019[158]
Elko Snobowl, Elko, Nevada, 6 988, 6 338, 650, 60, 10, 2, 24, $20, September 28  2019[159]
Diamond Peak, Incline Village, Nevada, 8 540, 6 700, 1 840, 655, 30, 6, 225, $99, September 28  2019[160]
Great Bear Ski Valley, Sioux Falls, South Dakota, 1 530, 1 352, 178, 220, 14, 4, 150, $29, September 28  2019[161]
Huff Hills, Mandan, North Dakota, 2 150, 1 725, 425, , 21, 3, 40, $35, September 28  2019[162]
Bottineau Winter Park, Bottineau, North Dakota, 2 450, 2 270, 180, 40, 8, 6, 13, $35, September 28  2019[163]
Elk Ridge, Williams, Arizona, 8 150, 7 500, 650, 37, 10, 2, 150, $40, September 28  2019[164]
Mount Lemmon Ski Valley, Tucson, Arizona, 9 157, 8 200, 957, 200, 21, 3, 180, $47, September 28  2019[165]
Sunrise Park, Greer, Arizona, 11 100, 9 200, 1 900, 800, 65, 9, 250, $78, September 28  2019[166]
Sandia Peak, Albuquerque, New Mexico, 10 378, 8 678, 1 700, 200, 39, 5, 100, $55, September 28  2019[167]
Ski Apache, Ruidoso, New Mexico, 11 500, 9 600, 1 900, 750, 55, 8, 185, $74, September 28  2019[168]
Sipapu, Taos, New Mexico, 9 225, 8 200, 1 055, 200, 41, 6, 190, $45, September 28  2019[169]
Red River, Red River, New Mexico, 10 350, 8 750, 1 600, 209, 64, 7, 214, $82, September 28  2019[170]
Kelly Canyon, Idaho Falls, Idaho, 6 600, 5 600, 1 000, 640, 26, 5, 200, $42, September 28  2019[171]
Pebble Creek, Pocatello, Idaho, 8 560, 6 360, 2 200, 1 100, 54, 3, 250, $52, September 28  2019[172]
Magic Mountain, Twin Falls, Idaho, 7 240, 6 540, 700, 120, 11, 4, 230, $33, September 28  2019[173]
Blizzard Mountain, Arco, Idaho, 6 305, 5 595, 710, , , 1, , , September 28  2019
Rotarun, Hailey, Idaho, 5 895, 5 420, 475, , 12, 1, , $20, September 28  2019[174]
Chipmunk Hill, Challis, Idaho, , , , 30, 1, 1, , $5, September 28  2019
Snowhaven, Grangeville, Idaho, 5 600, 5 200, 400, 40, 9, 2, 60, $19, September 28  2019[175]
Tamarack, Boise, Idaho, 7 660, 4 900, 2 760, 1 100, 45, 6, 300, $71, September 28  2019[176]
