XEP, Description, Status, ejabberd, iChat Server, jabberd14, jabberd2, Metronome, Isode M-Link, MongooseIM, Openfire, Prosody, Tigase
0131, Stanza Headers and Internet Metadata, {{nightly|Draft}}, {{No}}[8], {{unk}}, {{unk}}, {{No}}[17], {{unk}}, {{Yes}}[19], {{No}}, {{unk}}, {{Yes}}[20], {{Yes}}[6]
0133, Service Administration, {{Yes|Approved}}, {{Yes}}[8], {{unk}}, {{unk}}, {{No}}[17], {{Yes}}[18], {{Yes}}[19], {{No}}, {{unk}}, {{Yes}}[20], {{Yes}}[6]
0136, Message archiving, {{incorrect|Deprecated}}, Contrib.[8][33], {{unk}}, Contrib.[2][34], {{No}}[17], {{No}}[18], {{No}}, {{No}}, {{Yes}}/Plugin[35], Contrib.[36], {{Yes}}[6]
0137, Publishing SI Requests, {{incorrect|Deprecated}}, {{No}}[8], {{unk}}, {{unk}}, {{No}}[17], {{Yes}}, {{No}}, {{No}}, {{unk}}, {{No}}, {{No}}
XEP, Description, Status, ejabberd, iChat Server, jabberd14, jabberd2, Metronome, Isode M-Link, MongooseIM, Openfire, Prosody, Tigase
0138, Stream Compression, {{Yes|Final}}, {{Yes}}[8], {{unk}}, {{unk}}, {{Yes}}[17], {{Yes}}[18], {{Yes}}[19], {{Yes}}, {{Yes}}[5], {{Yes}}[20], {{Yes}}[6]
0148, Instant Messaging Intelligence Quotient, Humorous, {{unk}}, {{unk}}, {{unk}}, {{No}}[17], unfinished {{Citation needed|date=September 2013}}, {{No}}, {{No}}, {{unk}}, experimental {{Citation needed|date=November 2010}}, {{Yes}}[6]
0153, vCard-Based Avatars, {{incorrect|Historical Use}}, {{Yes}}[8], {{unk}}, {{Yes}}[2], {{Yes}}[17], {{Yes}}[18], {{No}}, {{Yes}}, {{unk}}, {{Yes}}[20], {{Yes}}[6]
0154, User profile, {{okay|Deferred}}, Contrib.[8], {{unk}}, {{unk}}, {{No}}[17], {{Yes}}[18], {{No}}, {{No}}, {{unk}}, {{No}}[20], {{No}}
0157, Contact Addresses for XMPP Services, {{Yes|Approved}}, {{Yes}}[8][37], {{unk}}, {{Yes}}[2], {{Yes}}[17], {{Yes}}[18], {{No}}, {{Yes}}, {{unk}}, Contrib.[20], {{Yes}}[6]
0158, CAPTCHA Forms, {{nightly|Draft}}, {{Yes}}[8], {{unk}}, {{unk}}, {{No}}[17], {{No}}[18], {{No}}, {{No}}, {{unk}}, {{No}}[20], {{No}}
0159, Spim-Blocking Control, {{okay|Deferred}}, {{unk}}, {{unk}}, {{unk}}, {{No}}[17], {{No}}[18], {{No}}, {{No}}, {{unk}}, {{No}}[20], {{No}}
0160, Best Practices for Handling Offline Messages, {{Yes|Approved}}, {{Yes}}[8], {{unk}}, {{Yes}}[2], {{Yes}}[17], {{Yes}}[18], {{No}}, {{Yes}}, {{unk}}, {{Yes}}[20], {{Yes}}[6]
0161, Abuse Reporting, {{okay|Deferred}}, {{unk}}, {{unk}}, {{unk}}, {{No}}[17], {{No}}[18], {{No}}, {{No}}, {{unk}}, {{No}}[20], {{No}}
0163, Personal Eventing Protocol, {{nightly|Draft}}, {{Yes}}[8], {{unk}}, {{unk}}, {{No}}[17], {{Yes}}[18], {{Yes}}[19], {{Yes}}, {{Yes}}[5], {{Yes}}[20], {{Yes}}[6]
